Node, InDeg, OutDeg, CloseCent, BetwnCent,  Influence, Redundancy, AvgDeathAge
20, 33, 13, 0.5149222362337116, 0.006836434900532547,  0.03830227743271223, 0.0, 2.8995016611295683
21, 13, 26, 0.4687667416693453, 0.0015916647124235646,  0.11833258628417749, 0.29896907216494845, 7.181321452589105
22, 1, 1, 0.3450509830432088, 0.0,  0.009771045328399631, 0.0, 1.797872340425532
23, 1, 1, 0.3450509830432088, 0.0,  0.009481961147086033, 0.0, 1.7473684210526317
24, 79, 54, 0.61300266218299, 0.0162540785223247,  0.005434782608695651, 0.0, 1.0
25, 1, 8, 0.36144649411653623, 0.0,  0.05078933747412007, 0.0, 3.269471799462847
26, 20, 24, 0.4486587849221348, 7.715320226166434e-05,  0.09682355424229633, 0.0970873786407767, 6.4967492889069485
27, 1, 5, 0.36144649411653623, 0.0,  0.026962168266516096, 0.0, 1.9501557632398754
28, 91, 69, 0.6339004802119556, 0.026865485125927673,  0.005434782608695653, 0.0, 1.0
29, 31, 14, 0.4879000780640125, 0.00036600175759641016,  0.01922057264050901, 0.024390243902439025, 1.8278145695364238
30, 40, 32, 0.5025517320599288, 0.001480460115460797,  0.009446169772256728, 0.0, 1.4383561643835616
31, 71, 65, 0.5770680233653664, 0.016841000925849094,  0.005434782608695654, 0.0, 1.0
32, 3, 3, 0.37776462026175234, 0.0,  0.028549807374793616, 0.02531645569620253, 2.531486146095718
33, 1, 0, 0.3632355355425784, 0.0,  0.005434782608695652, 0.8791208791208791, 1.0
34, 46, 47, 0.518110609213487, 0.003054896957921929,  0.015083048363458721, 0.0, 5.106521739130435
35, 72, 58, 0.5731155026573844, 0.013153583165204184,  0.005434782608695652, 0.0, 1.0
36, 11, 6, 0.42800441630679353, 0.0,  0.031218402426693638, 0.0, 1.9577464788732395
37, 4, 5, 0.4052051495785866, 0.0,  0.027828099838969403, 0.0, 1.959051724137931
38, 8, 16, 0.4572396906446893, 7.010852865726212e-05,  0.11283081285444234, 0.05434782608695652, 7.67336843784905
39, 27, 17, 0.5071203841695644, 0.0004011421030833893,  0.02973864191499756, 0.06741573033707865, 3.36284289276808
40, 53, 23, 0.5415848762975932, 0.0016410052237787194,  0.010797101449275365, 0.0, 2.422222222222222
41, 2, 0, 0.3720170539842671, 0.0,  0.005434782608695652, 0.8777777777777778, 1.0
42, 30, 31, 0.5025517320599288, 0.001613230344975076,  0.0856469355683604, 0.012048192771084338, 2.4398073836276084
43, 10, 19, 0.4522965588539359, 0.00022974631980082053,  0.10704689789936495, 0.1797752808988764, 5.484992101105846
