Node, InDeg, OutDeg, InCloseCent, InBetwnCent, OutCloseCent, OutBetwenCent
129, 15, 16, 0.0005605472461722715, 0.43674885516027756, 0.0005605472461722715, 0.0005605472461722715
130, 50, 49, 0.008054092019566167, 0.537711577522004, 0.008054092019566169, 0.008054092019566169
131, 24, 37, 0.0021436928649538065, 0.4792105494119712, 0.0021436928649538074, 0.0021436928649538074
132, 35, 53, 0.0071492861670940855, 0.48256167213513185, 0.007149286167094088, 0.007149286167094088
133, 18, 74, 0.008828874415184717, 0.4559888928325365, 0.008828874415184715, 0.008828874415184715
134, 49, 72, 0.028025991185712362, 0.5433568434277468, 0.028025991185712352, 0.028025991185712352
135, 32, 8, 0.000560593522696175, 0.48143943568830594, 0.0005605935226961748, 0.0005605935226961748
136, 16, 1, 0.0, 0.40190476190476193, 0.0, 0.0
137, 61, 24, 0.011784333003304125, 0.5671752256054016, 0.01178433300330412, 0.01178433300330412
138, 72, 7, 0.0033138973253825183, 0.5847993145366429, 0.0033138973253825183, 0.0033138973253825183
139, 16, 23, 0.0031562956330275353, 0.4059195242077874, 0.003156295633027536, 0.003156295633027536
140, 19, 41, 0.006524655558575434, 0.4385994859024821, 0.006524655558575433, 0.006524655558575433
141, 23, 63, 0.004750153716617171, 0.48032240683520083, 0.004750153716617171, 0.004750153716617171
142, 42, 67, 0.006395549866872568, 0.49884086107463027, 0.006395549866872563, 0.006395549866872563
143, 28, 34, 0.005949690816214896, 0.5000457906907526, 0.005949690816214892, 0.005949690816214892
144, 41, 31, 0.003917857088239096, 0.530817839348645, 0.003917857088239093, 0.003917857088239093
145, 10, 10, 0.00021944458711825523, 0.4123883612469553, 0.00021944458711825533, 0.00021944458711825533
146, 9, 11, 0.00025034526220123817, 0.3826598102513338, 0.0002503452622012382, 0.0002503452622012382
147, 8, 1, 2.3190609765401735e-05, 0.36667498129209275, 2.3190609765401735e-05, 2.3190609765401735e-05
148, 37, 65, 0.012427292442538884, 0.5124231617474544, 0.012427292442538889, 0.012427292442538889
149, 56, 34, 0.005712191627622796, 0.5520505529225909, 0.005712191627622798, 0.005712191627622798
150, 32, 1, 0.0001115032458961971, 0.508646086845139, 0.00011150324589619709, 0.00011150324589619709
151, 0, 64, 0.0, 0.0, 0.0, 0.0
152, 32, 49, 0.006443629751246665, 0.5024731974416785, 0.006443629751246666, 0.006443629751246666
153, 54, 60, 0.01514731096747863, 0.5535266239197101, 0.015147310967478615, 0.015147310967478615
154, 27, 35, 0.006200503255316649, 0.4704976303317535, 0.006200503255316648, 0.006200503255316648
155, 37, 29, 0.0022298838264440484, 0.5012565553171224, 0.002229883826444048, 0.002229883826444048
156, 39, 51, 0.005610655218649235, 0.5036957599658676, 0.005610655218649235, 0.005610655218649235
157, 77, 46, 0.010303568938054026, 0.5815139251291337, 0.01030356893805402, 0.01030356893805402
158, 24, 26, 0.004880868207938117, 0.473727591180713, 0.004880868207938118, 0.004880868207938118
159, 71, 28, 0.01300144634688408, 0.5847993145366429, 0.013001446346884086, 0.013001446346884086
160, 40, 18, 0.0027419670692879483, 0.5073994052597341, 0.002741967069287948, 0.002741967069287948
161, 14, 1, 5.753747729684694e-05, 0.41486764999192693, 5.753747729684695e-05, 5.753747729684695e-05
162, 78, 18, 0.004042781397186676, 0.5965964188644713, 0.004042781397186677, 0.004042781397186677
163, 15, 2, 0.00031158937194437474, 0.41075189949597535, 0.00031158937194437474, 0.00031158937194437474
164, 28, 29, 0.0020115767266358697, 0.48256167213513185, 0.0020115767266358706, 0.0020115767266358706
165, 36, 33, 0.0032808288702752047, 0.508646086845139, 0.003280828870275202, 0.003280828870275202
166, 48, 24, 0.004529883065514652, 0.5254288257511969, 0.004529883065514651, 0.004529883065514651
