Node, InDeg, OutDeg, CloseCent, BetwnCent
61, 55, 33, 0.5541381681323055, 0.004036580093203159
62, 17, 8, 0.47140768105903175, 0.00028928872666099224
63, 1, 0, 0.3632355355425784, 0.0
64, 1, 0, 0.3632355355425784, 0.0
65, 10, 20, 0.43131372880401103, 2.381301843714337e-05
66, 0, 11, 0.0, 0.0
67, 0, 11, 0.0, 0.0
68, 47, 50, 0.5346636638209467, 0.006445478780433012
69, 0, 7, 0.0, 0.0
70, 0, 7, 0.0, 0.0
71, 0, 11, 0.0, 0.0
72, 64, 86, 0.5770680233653664, 0.05944930884112348
73, 23, 38, 0.4727393411750177, 0.002003957185273175
74, 28, 27, 0.4781420765027322, 0.0015111875572004062
75, 14, 19, 0.45352229478578937, 0.0004801861337766237
76, 2, 12, 0.36144649411653623, 0.0
77, 52, 56, 0.5433432687531048, 0.008699977501924576
78, 37, 53, 0.5025517320599288, 0.0038483931699895553
79, 30, 27, 0.4754253601589667, 0.0012050442836197578
80, 13, 27, 0.43808828998941435, 0.0001337682342222786
81, 16, 32, 0.4415560073244229, 0.0003470049813757005
82, 56, 46, 0.5329609132992238, 0.005636870778110781
83, 13, 21, 0.4392381280208826, 6.149698342550554e-05
84, 17, 22, 0.4438984795118204, 0.0002359393795461518
85, 43, 42, 0.4980646630236794, 0.002758071575299992
86, 13, 22, 0.43808828998941435, 8.685971279544485e-05
87, 22, 34, 0.4572396906446893, 0.0004259358616155865
88, 34, 34, 0.4822758696713437, 0.0033455916696788325
89, 61, 47, 0.5504925222893299, 0.006857511016445115
90, 29, 19, 0.4648603521554341, 0.00014131700442453454
91, 28, 30, 0.4822758696713437, 0.0008920592259249881
92, 57, 41, 0.5433432687531048, 0.003928769892711404
93, 31, 38, 0.5025517320599288, 0.002134654508994079
94, 76, 62, 0.5955506290959298, 0.01741760755546658
95, 5, 8, 0.42910186352809304, 4.7163563603759605e-05
96, 42, 52, 0.5262570024401141, 0.0039842047975186395
97, 0, 1, 0.0, 0.0
98, 30, 42, 0.47008350217965245, 0.0011145762415888845
99, 27, 41, 0.4648603521554341, 0.0008605900717005004
