Time of Death, Message ID, Age at Death, Place of Death, Place Before Death
435, 433, 3, 29, 57
435, 432, 4, 65, 39
435, 434, 2, 65, 85
436, 431, 6, 9, 16
436, 409, 28, 9, 68
439, 424, 16, 48, 3
439, 435, 5, 48, 10
448, 444, 5, 45, 53
448, 419, 30, 45, 67
449, 448, 2, 65, 57
449, 429, 21, 65, 85
450, 438, 13, 48, 12
450, 443, 8, 48, 34
451, 437, 15, 86, 37
451, 440, 12, 86, 60
452, 436, 17, 63, 44
452, 450, 3, 63, 47
454, 441, 14, 63, 9
454, 446, 9, 63, 86
454, 452, 3, 66, 37
454, 449, 6, 66, 61
458, 455, 4, 7, 22
458, 439, 20, 7, 28
458, 445, 14, 63, 10
458, 456, 3, 63, 16
459, 442, 18, 37, 13
459, 458, 2, 37, 14
462, 447, 16, 8, 44
462, 457, 6, 8, 64
463, 462, 2, 60, 67
463, 463, 1, 60, 60
463, 453, 11, 81, 41
463, 461, 3, 81, 49
466, 459, 8, 42, 7
466, 451, 16, 42, 49
467, 454, 14, 47, 60
467, 467, 1, 47, 47
470, 464, 7, 55, 29
470, 469, 2, 55, 77
475, 460, 16, 48, 11
475, 471, 5, 48, 63
475, 468, 8, 57, 10
475, 465, 11, 57, 37
477, 474, 4, 5, 44
477, 472, 6, 5, 63
481, 470, 12, 7, 25
481, 480, 2, 7, 34
481, 475, 7, 47, 29
481, 473, 9, 47, 79
482, 481, 2, 29, 1
482, 476, 7, 29, 64
486, 482, 5, 73, 59
486, 478, 9, 73, 79
490, 483, 8, 73, 5
490, 488, 3, 73, 7
491, 487, 5, 62, 16
491, 485, 7, 62, 59
492, 484, 9, 7, 36
492, 489, 4, 7, 81
493, 479, 15, 9, 27
493, 486, 8, 9, 64
495, 494, 2, 81, 12
495, 466, 30, 81, 14
497, 496, 2, 10, 27
497, 497, 1, 10, 10
497, 491, 7, 86, 44
497, 490, 8, 86, 53
504, 492, 13, 24, 7
504, 477, 28, 24, 29
506, 502, 5, 29, 74
506, 498, 9, 29, 77
510, 493, 18, 37, 24
510, 501, 10, 37, 42
511, 503, 9, 8, 9
511, 504, 8, 8, 17
511, 495, 17, 50, 8
511, 510, 2, 50, 31
512, 506, 7, 73, 9
512, 509, 4, 73, 46
513, 499, 15, 16, 46
513, 505, 9, 16, 48
516, 500, 17, 10, 40
516, 515, 2, 10, 51
520, 516, 5, 34, 4
520, 512, 9, 34, 14
522, 511, 12, 61, 38
522, 522, 1, 61, 61
524, 507, 18, 0, 5
524, 517, 8, 0, 63
525, 508, 18, 37, 1
525, 524, 2, 37, 2
526, 520, 7, 61, 26
526, 518, 9, 61, 88
527, 519, 9, 48, 39
527, 527, 1, 48, 48
531, 523, 9, 8, 16
531, 514, 18, 8, 76
531, 513, 19, 73, 42
531, 526, 6, 73, 83
532, 525, 8, 50, 89
532, 532, 1, 50, 50
535, 533, 3, 52, 16
535, 529, 7, 52, 47
538, 537, 2, 65, 51
538, 521, 18, 65, 76
539, 534, 6, 14, 39
539, 531, 9, 14, 63
543, 542, 2, 8, 28
543, 528, 16, 8, 86
543, 538, 6, 59, 35
543, 530, 14, 59, 80
546, 543, 4, 33, 45
546, 539, 8, 33, 47
550, 540, 11, 28, 8
550, 546, 5, 28, 29
552, 548, 5, 48, 7
552, 536, 17, 48, 40
555, 551, 5, 37, 1
555, 541, 15, 37, 63
556, 554, 3, 48, 16
556, 550, 7, 48, 22
556, 552, 5, 48, 54
558, 547, 12, 47, 55
558, 535, 24, 47, 60
559, 549, 11, 41, 42
559, 557, 3, 41, 65
562, 555, 8, 53, 27
562, 544, 19, 53, 42
564, 561, 4, 42, 27
564, 560, 5, 42, 31
566, 562, 5, 62, 45
566, 563, 4, 62, 61
569, 545, 25, 61, 62
569, 558, 12, 61, 74
569, 569, 1, 61, 61
571, 559, 13, 73, 44
571, 571, 1, 73, 73
573, 566, 8, 61, 20
573, 568, 6, 61, 72
575, 565, 11, 39, 57
575, 575, 1, 39, 39
576, 572, 5, 21, 10
576, 556, 21, 21, 72
579, 578, 2, 39, 23
579, 577, 3, 39, 29
581, 564, 18, 44, 75
581, 581, 1, 44, 44
583, 582, 2, 9, 68
583, 574, 10, 9, 82
583, 580, 4, 59, 26
583, 567, 17, 59, 29
586, 579, 8, 34, 13
586, 553, 34, 34, 14
587, 570, 18, 7, 22
587, 584, 4, 7, 38
592, 585, 8, 39, 42
592, 592, 1, 39, 39
594, 589, 6, 29, 85
594, 594, 1, 29, 29
594, 583, 12, 56, 15
594, 588, 7, 56, 73
595, 586, 10, 45, 78
595, 595, 1, 45, 45
602, 587, 16, 16, 17
602, 600, 3, 16, 19
602, 576, 27, 16, 64
602, 601, 2, 26, 8
602, 602, 1, 26, 26
604, 590, 15, 28, 9
604, 591, 14, 28, 50
606, 604, 3, 15, 3
606, 605, 2, 15, 19
606, 603, 4, 15, 41
608, 598, 11, 69, 45
608, 599, 10, 69, 63
613, 593, 21, 16, 27
613, 609, 5, 16, 41
613, 597, 17, 47, 14
613, 611, 3, 47, 60
613, 607, 7, 48, 7
613, 606, 8, 48, 43
614, 613, 2, 10, 35
614, 608, 7, 10, 77
614, 573, 42, 29, 62
614, 610, 5, 29, 81
618, 614, 5, 54, 60
618, 596, 23, 54, 61
622, 612, 11, 61, 0
622, 616, 7, 61, 60
622, 615, 8, 61, 80
627, 619, 9, 61, 31
627, 627, 1, 61, 61
627, 622, 6, 66, 15
627, 617, 11, 66, 61
630, 623, 8, 7, 37
630, 629, 2, 7, 46
631, 630, 2, 27, 8
631, 628, 4, 27, 73
631, 618, 14, 28, 34
631, 625, 7, 28, 60
635, 631, 5, 41, 39
635, 633, 3, 41, 73
