Time of Death, Message ID, Age at Death, Place of Death, Place Before Death
38, 276, 9, 29, 48
38, 344, 1, 29, 29
38, 330, 3, 39, 8
38, 345, 1, 39, 39
38, 331, 3, 60, 37
38, 320, 4, 60, 50
39, 339, 3, 7, 9
39, 343, 2, 7, 17
39, 350, 2, 7, 88
39, 342, 2, 39, 7
39, 328, 4, 39, 47
39, 284, 9, 42, 61
39, 349, 2, 42, 85
39, 353, 1, 42, 42
39, 348, 2, 61, 78
39, 324, 4, 61, 81
39, 336, 3, 81, 65
39, 347, 2, 81, 77
40, 351, 2, 3, 4
40, 352, 2, 3, 29
40, 360, 1, 3, 3
40, 341, 4, 29, 34
40, 346, 3, 29, 63
40, 334, 4, 48, 15
40, 354, 2, 48, 44
40, 355, 2, 62, 53
40, 364, 1, 62, 62
41, 366, 2, 10, 74
41, 368, 2, 10, 88
41, 335, 5, 42, 37
41, 365, 2, 42, 72
42, 369, 2, 21, 5
42, 356, 4, 21, 15
42, 380, 1, 21, 21
42, 370, 2, 42, 9
42, 376, 2, 42, 69
42, 311, 9, 60, 39
42, 358, 4, 60, 73
42, 383, 1, 60, 60
42, 367, 3, 61, 8
42, 361, 3, 61, 48
43, 362, 4, 8, 37
43, 386, 2, 8, 88
43, 375, 3, 42, 81
43, 392, 1, 42, 42
43, 371, 3, 61, 45
43, 381, 2, 61, 50
43, 382, 2, 61, 51
43, 373, 3, 61, 73
43, 357, 5, 77, 39
43, 385, 2, 77, 78
44, 388, 2, 7, 30
44, 377, 4, 7, 73
44, 387, 2, 29, 0
44, 372, 4, 29, 60
45, 405, 1, 2, 2
45, 406, 1, 2, 2
45, 396, 2, 37, 24
45, 403, 2, 37, 76
45, 404, 2, 47, 78
45, 410, 1, 47, 47
45, 384, 4, 53, 45
45, 393, 3, 53, 62
45, 379, 4, 61, 10
45, 398, 2, 61, 38
45, 359, 7, 61, 48
45, 400, 2, 61, 51
45, 402, 2, 61, 64
45, 395, 3, 73, 37
45, 391, 3, 73, 81
46, 401, 3, 15, 16
46, 374, 6, 15, 50
46, 407, 2, 63, 8
46, 408, 2, 63, 29
46, 411, 2, 73, 76
46, 422, 1, 73, 73
