Node, InDeg, OutDeg, CloseCent, BetwnCent
104, 13, 2, 0.45737799410785196, 0.0001197418651197778
105, 50, 17, 0.5344100773260165, 0.006929524758243708
106, 17, 8, 0.45228469795965764, 0.0013122589909885186
107, 3, 25, 0.30769065058164585, 0.00046391193921549716
108, 11, 22, 0.43955807225949406, 0.002348434302976861
109, 5, 41, 0.37125380143306447, 0.0011287443094353336
110, 32, 23, 0.5154208867611326, 0.004573653699907067
111, 9, 26, 0.40778278992748246, 0.0018920204561355706
112, 31, 48, 0.5051637546862843, 0.015513892950317736
113, 46, 2, 0.538662677410839, 0.0002481268921143939
114, 57, 22, 0.5548519928521483, 0.014356983289222192
115, 0, 36, 0.0, 0.0
116, 15, 13, 0.45737799410785196, 0.0013154648362947608
117, 10, 5, 0.41359639385720215, 0.0003651507912821609
118, 11, 37, 0.4386087027729725, 0.003986859248826505
119, 17, 15, 0.471173618060061, 0.001806612197759941
120, 48, 79, 0.5429835010264339, 0.04028639975982258
121, 10, 10, 0.4284300197972284, 0.0007631566185881423
122, 4, 7, 0.36263540961408264, 5.503537333963039e-05
123, 1, 33, 0.2532117573365166, 5.584499791582751e-05
124, 27, 3, 0.4800847030351921, 0.0009601654249624276
125, 13, 29, 0.4473035889512913, 0.0029423519959585155
126, 19, 20, 0.4722693706602006, 0.0038690752116516815
127, 40, 16, 0.5180505851629751, 0.0038186578226461184
128, 9, 20, 0.41957815988406255, 0.0007968885199735297
129, 0, 10, 0.0, 0.0
130, 19, 10, 0.4424310008363535, 0.001235478743249164
131, 13, 55, 0.4594475777915979, 0.006350966334895947
132, 48, 2, 0.5358201303004915, 0.00041367401234260214
133, 2, 55, 0.34016051823096527, 0.0011120255982902246
134, 12, 16, 0.40778278992748246, 0.00167134379018908
135, 23, 25, 0.4917090299851968, 0.0031100872536674313
136, 13, 80, 0.44534173110501374, 0.008032150052673742
137, 6, 42, 0.4339227123587313, 0.0029639053045700894
138, 4, 11, 0.3897808625410485, 0.0002075263260252227
139, 7, 25, 0.42307464454976307, 0.001574073650705691
140, 24, 29, 0.47670382484480345, 0.005211658331434268
141, 35, 6, 0.5076895734597157, 0.0013388802919509502
142, 10, 8, 0.434851883049007, 0.0007092037180554093
143, 1, 29, 0.3587912179927319, 0.0001620681367712064
144, 8, 44, 0.38534312976069496, 0.0033987294002669694
145, 38, 13, 0.5193755227209368, 0.0033940469510145704
146, 24, 26, 0.4835138794854435, 0.004733290939276473
147, 13, 7, 0.44829101409246414, 0.00042951639067926066
148, 38, 4, 0.5233913128450677, 0.0004366826799175821
149, 62, 10, 0.5656708339384018, 0.004196467727587224
150, 69, 22, 0.5835512338617421, 0.016977733772491704
151, 30, 23, 0.5064235146730331, 0.0041550243003054465
152, 14, 20, 0.46048940903375574, 0.002240807963065563
153, 23, 36, 0.47895242779218455, 0.006735694284907928
154, 22, 1, 0.49530690093630797, 0.00013265471844177757
155, 10, 27, 0.4320762327316729, 0.0017621477931756319
156, 15, 24, 0.44829101409246414, 0.0024920875887977974
157, 7, 9, 0.3846133132270573, 0.0004744060173485441
158, 17, 29, 0.4636434460819321, 0.004038851613831748
159, 41, 17, 0.5288433056872038, 0.006698889203328688
160, 13, 2, 0.4615359758724688, 0.00010283924304247724
161, 21, 14, 0.4929024985045783, 0.0019388067825722916
162, 2, 61, 0.33959168793292016, 0.005577886302256409
163, 38, 30, 0.5167323902897869, 0.007037723500665183
164, 14, 16, 0.44928280837142975, 0.002617277094017618
